year,lat,lon,gws_inst,rtzsm_inst,sfsm_inst
 2003,-11.088497850065433,-52.597424752290145,49.928173830088646,53.10609234213895,53.55598067535447
 2004,-11.088497850065433,-52.597424752290145,64.64554239184729,61.97231972539339,61.903461962042115
 2005,-11.088497850065433,-52.597424752290145,45.79886341046096,46.07949870001783,45.82548107086483
 2006,-11.088497850065433,-52.597424752290145,55.527642725473825,54.484007598488326,54.3763206407999
 2007,-11.088497850065433,-52.597424752290145,56.25200832293987,55.00870080047955,55.32188213775578
 2008,-11.088497850065433,-52.597424752290145,59.63577003688168,60.610538298048596,60.21268403415631
 2009,-11.088497850065433,-52.597424752290145,66.52023597795407,65.7785591795223,65.45139940507991
 2010,-11.088497850065433,-52.597424752290145,48.52011581102016,47.79635318585357,46.83510483845113
 2011,-11.088497850065433,-52.597424752290145,56.458967422432444,55.37681792060617,54.04161516675067
 2012,-11.088497850065433,-52.597424752290145,43.26692367157545,42.91398577226649,41.619483692908055
 2013,-11.088497850065433,-52.597424752290145,49.63324439426357,53.185163684092565,52.552437067177905
 2014,-11.088497850065433,-52.597424752290145,44.816522343565836,47.03685641944218,46.28002220903688
 2015,-11.088497850065433,-52.597424752290145,35.55061464274414,38.23740860886052,37.75277571862786
 2016,-11.088497850065433,-52.597424752290145,26.902066237310173,32.55212906021361,32.12261482020558
 2017,-11.088497850065433,-52.597424752290145,33.682327085419125,38.43430192537308,37.44946481646347
 2018,-11.088497850065433,-52.597424752290145,35.46450413173183,41.01311427246133,40.76537940524786
 2019,-11.088497850065433,-52.597424752290145,36.630907225415406,39.40823384340892,38.49631679638613
 2020,-11.088497850065433,-52.597424752290145,31.41395436528201,35.45593395689021,34.783342302307226
 2021,-11.088497850065433,-52.597424752290145,30.798249214296565,36.430400785940634,36.33764917179902
 2022,-11.088497850065433,-52.597424752290145,39.50328428260289,41.2891786277071,40.796073034624264
 2023,-11.088497850065433,-52.597424752290145,44.78256710666807,43.49572722905233,42.54220188531361
